1 2 3
1 3 7
1 4 1
1 5 7
1 6 8
1 7 3
1 8 4
1 9 8
1 10 5
1 11 4
1 12 9
1 13 15
1 14 13
1 15 5
2 3 6
2 4 4
2 5 12
2 6 15
2 7 14
2 8 15
2 9 14
2 10 1
2 11 1
2 12 15
2 13 14
2 14 3
2 15 2
3 4 2
3 5 5
3 6 6
3 7 15
3 8 7
3 9 1
3 10 9
3 11 5
3 12 1
3 13 7
3 14 9
3 15 13
4 5 14
4 6 5
4 7 12
4 8 8
4 9 5
4 10 8
4 11 11
4 12 9
4 13 1
4 14 2
4 15 5
5 6 2
5 7 7
5 8 6
5 9 5
5 10 1
5 11 1
5 12 14
5 13 11
5 14 5
5 15 7
6 7 7
6 8 6
6 9 15
6 10 15
6 11 5
6 12 5
6 13 10
6 14 8
6 15 1
7 8 7
7 9 5
7 10 2
7 11 2
7 12 3
7 13 6
7 14 9
7 15 5
8 9 4
8 10 7
8 11 8
8 12 10
8 13 1
8 14 2
8 15 15
9 10 11
9 11 1
9 12 5
9 13 15
9 14 4
9 15 2
10 11 8
10 12 6
10 13 3
10 14 3
10 15 4
11 12 12
11 13 3
11 14 13
11 15 9
12 13 12
12 14 12
12 15 4
13 14 15
13 15 10
14 15 4
